,CPI,Inflation_YoY,Unemployment_Rate,Employment_Rate,GDP_Ontario,GDP_Growth_YoY,Policy_Rate,Prime_Rate,Mortgage_5Y_Rate,Prime_Policy_Spread,Mortgage_Prime_Spread,USD_CAD,FX_Change_MoM,FX_Change_YoY,HPI,HPI_Change_MoM,HPI_Change_YoY,WTI_Price,WCS_Price,WCS_WTI_Spread,WTI_Change_YoY,Economic_Cycle_Score,Credit_Conditions,Housing_Risk_Score
2022-09-01,152.7,6.857942617214818,5.1,62.0,850461.9,4.06188686540665,2.5,4.7,6.14,2.2,1.4399999999999995,1.2921681818181818,-0.1593084831767233,2.5270691781817067,737800.0,-1.4295257181028753,1.3740038472107807,84.26,64.18,-20.08,17.599441730635036,0.6067162852112138,4.776000000000001,2.1749980763946093
2022-09-30,152.7,6.857942617214818,5.1,62.0,850461.9,4.06188686540665,3.0714285714285716,5.2625,6.14,2.1910714285714286,0.8774999999999995,1.331855,3.0713353524907117,5.108414718358478,737800.0,-1.4295257181028753,1.3740038472107807,84.26,64.18,-20.08,17.599441730635036,0.6067162852112138,4.999214285714285,2.1749980763946093
2022-10-01,153.8,6.879777623349548,5.1,62.1,850461.9,4.06188686540665,3.0714285714285716,5.2625,6.14,2.1910714285714286,0.8774999999999995,1.331855,3.0713353524907117,5.108414718358478,729700.0,-1.0978584982380024,-1.9484009674818559,87.55,66.38,-21.17,7.4496809032891464,0.6067162852112138,4.999214285714285,3.8362004837409276
2022-10-31,153.8,6.879777623349548,5.1,62.1,850461.9,4.06188686540665,3.3214285714285716,5.45,6.3149999999999995,2.1285714285714286,0.8649999999999993,1.36995,2.860296353582026,10.152490381406864,729700.0,-1.0978584982380024,-1.9484009674818559,87.55,66.38,-21.17,7.4496809032891464,0.6067162852112138,5.131714285714285,3.888700483740928
2022-11-01,154.0,6.796116504854388,5.0,62.1,850461.9,4.06188686540665,3.3214285714285716,5.45,6.3149999999999995,2.1285714285714286,0.8649999999999993,1.36995,2.860296353582026,10.152490381406864,722400.0,-1.0004111278607675,-5.097214923804517,84.37,57.44,-26.930000000000007,6.595072646873024,0.6324420187990056,5.131714285714285,5.443107461902258
2022-11-30,154.0,6.796116504854388,5.0,62.1,850461.9,4.06188686540665,3.75,5.95,6.49,2.2,0.54,1.344857142857143,-1.831662260875,6.991051877893373,722400.0,-1.0004111278607675,-5.097214923804517,84.37,57.44,-26.930000000000007,6.595072646873024,0.6324420187990056,5.416000000000001,5.495607461902258
2022-12-01,153.1,6.319444444444433,5.0,62.3,850461.9,4.06188686540665,3.75,5.95,6.49,2.2,0.54,1.344857142857143,-1.831662260875,6.991051877893373,714300.0,-1.1212624584717612,-8.06949806949807,76.44,47.14,-29.299999999999997,6.596011713847449,0.6324420187990056,5.416000000000001,6.981749034749035
2022-12-31,153.1,6.319444444444433,5.0,62.3,850461.9,4.06188686540665,4.130952380952381,6.325,6.49,2.194047619047619,0.16500000000000004,1.3591900000000001,1.0657531336307535,6.2353308991838,714300.0,-1.1212624584717612,-8.06949806949807,76.44,47.14,-29.299999999999997,6.596011713847449,0.6324420187990056,5.564809523809524,6.981749034749035
2023-01-01,153.9,5.918788713007572,5.1,62.5,850461.9,4.06188686540665,4.130952380952381,6.325,6.49,2.194047619047619,0.16500000000000004,1.3591900000000001,1.0657531336307535,6.2353308991838,707800.0,-0.9099818003639903,-12.83251231527094,78.12,49.94,-28.180000000000007,-6.12833453496755,0.6067162852112138,5.564809523809524,9.383256157635468
2023-01-31,153.9,5.918788713007572,5.1,62.5,865859.6,1.8105102650688876,4.2976190476190474,6.45,6.49,2.1523809523809527,0.040000000000000036,1.3421666666666667,-1.2524616376910824,6.390287080707613,707800.0,-0.9099818003639903,-12.83251231527094,78.12,49.94,-28.180000000000007,-6.12833453496755,0.03056850702151942,5.606476190476191,9.383256157635468
2023-02-01,154.5,5.245231607629419,5.1,62.5,865859.6,1.8105102650688876,4.2976190476190474,6.45,6.49,2.1523809523809527,0.040000000000000036,1.3421666666666667,-1.2524616376910824,6.390287080707613,705600.0,-0.3108222661768911,-15.739192739431573,76.83,51.16,-25.67,-16.161065037101707,0.03056850702151942,5.606476190476191,10.836596369715785
2023-02-28,154.5,5.245231607629419,5.1,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3450263157894735,0.21306214748342267,5.775638345867762,705600.0,-0.3108222661768911,-15.739192739431573,76.83,51.16,-25.67,-16.161065037101707,0.03056850702151942,5.716,10.836596369715785
2023-03-01,155.3,4.298186702484896,5.0,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3450263157894735,0.21306214748342267,5.775638345867762,709000.0,0.48185941043084046,-15.20153091735439,73.28,52.99,-20.29,-32.46082949308756,0.056294240609311264,5.716,10.547765458677194
2023-03-31,155.3,4.298186702484896,5.0,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3682130434782607,1.7238865453110153,8.091889905231664,709000.0,0.48185941043084046,-15.20153091735439,73.28,52.99,-20.29,-32.46082949308756,0.056294240609311264,5.716,10.547765458677194
2023-04-01,156.4,4.4058744993324295,5.1,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3682130434782607,1.7238865453110153,8.091889905231664,721800.0,1.805359661495065,-11.921903599755945,79.45,63.48,-15.970000000000006,-21.939477303988998,0.03056850702151942,5.716,8.927951799877972
2023-04-30,156.4,4.4058744993324295,5.1,62.5,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3485052631578949,-1.4404028973634686,6.786922961505781,721800.0,1.805359661495065,-11.921903599755945,79.45,63.48,-15.970000000000006,-21.939477303988998,0.03056850702151942,5.716,8.927951799877972
2023-05-01,157.0,3.3574720210664877,5.2,62.3,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3485052631578949,-1.4404028973634686,6.786922961505781,733800.0,1.6625103906899419,-8.549351944167494,71.58,56.24,-15.339999999999996,-34.659972615244186,0.004842773433727354,5.716,7.261675972083747
2023-05-31,157.0,3.3574720210664877,5.2,62.3,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3520136363636364,0.26016755748698994,5.196357007596819,733800.0,1.6625103906899419,-8.549351944167494,71.58,56.24,-15.339999999999996,-34.659972615244186,0.004842773433727354,5.716,7.261675972083747
2023-06-01,157.2,2.8122956180510084,5.4,62.3,865859.6,1.8105102650688876,4.5,6.7,6.49,2.2,-0.20999999999999996,1.3520136363636364,0.26016755748698994,5.196357007596819,742700.0,1.2128645407468053,-5.049859371004861,70.25,56.42,-13.829999999999998,-38.82793451758969,-0.04660869374185661,5.716,5.551929685502431
2023-06-30,157.2,2.8122956180510084,5.4,62.3,865859.6,1.8105102650688876,4.693181818181818,6.8875,6.49,2.194318181818182,-0.39749999999999996,1.3287818181818183,-1.7183124161603947,3.7006030507272136,742700.0,1.2128645407468053,-5.049859371004861,70.25,56.42,-13.829999999999998,-38.82793451758969,-0.04660869374185661,5.789863636363637,5.551929685502431
2023-07-01,158.1,3.2658393207054104,5.5,62.2,865859.6,1.8105102650688876,4.693181818181818,6.8875,6.49,2.194318181818182,-0.39749999999999996,1.3287818181818183,-1.7183124161603947,3.7006030507272136,747400.0,0.6328261747677422,-2.057397457738175,76.07,64.12,-11.949999999999989,-25.142688447156083,-0.07233442732964845,5.789863636363637,4.075698728869087
2023-07-31,158.1,3.2658393207054104,5.5,62.2,865859.6,1.8105102650688876,4.904761904761905,7.075,6.49,2.170238095238095,-0.585,1.32146,-0.5510173364530746,2.103953702201311,747400.0,0.6328261747677422,-2.057397457738175,76.07,64.12,-11.949999999999989,-25.142688447156083,-0.07233442732964845,5.860047619047619,4.075698728869087
2023-08-01,158.7,3.997378768020976,5.5,62.2,865859.6,1.8105102650688876,4.904761904761905,7.075,6.49,2.170238095238095,-0.585,1.32146,-0.5510173364530746,2.103953702201311,746600.0,-0.10703773080010803,-0.25384101536406467,81.39,70.13,-11.260000000000005,-13.109853741859723,-0.07233442732964845,5.860047619047619,3.1739205076820327
2023-08-31,158.7,3.997378768020976,5.5,62.2,865859.6,1.8105102650688876,5.0,7.2,6.8,2.2,-0.40000000000000036,1.3485363636363636,2.0489733806822397,4.362294522595911,746600.0,-0.10703773080010803,-0.25384101536406467,81.39,70.13,-11.260000000000005,-13.109853741859723,-0.07233442732964845,6.040000000000001,3.2669205076820327
2023-09-01,158.5,3.7982973149967236,5.5,62.2,865859.6,1.8105102650688876,5.0,7.2,6.8,2.2,-0.40000000000000036,1.3485363636363636,2.0489733806822397,4.362294522595911,742600.0,-0.5357621216179997,0.6505828137706615,89.43,73.85,-15.580000000000013,6.135770234986948,-0.07233442732964845,6.040000000000001,2.8147085931146694
2023-09-30,158.5,3.7982973149967236,5.5,62.2,865859.6,1.8105102650688876,5.0,7.2,6.84,2.2,-0.3600000000000003,1.35349,0.36733428161170867,1.6244260824188839,742600.0,-0.5357621216179997,0.6505828137706615,89.43,73.85,-15.580000000000013,6.135770234986948,-0.07233442732964845,6.056000000000001,2.8267085931146694
2023-10-01,158.6,3.1209362808842567,5.7,62.1,865859.6,1.8105102650688876,5.0,7.2,6.84,2.2,-0.3600000000000003,1.35349,0.36733428161170867,1.6244260824188839,735300.0,-0.9830325882036139,0.7674386734274341,85.64,67.23,-18.409999999999997,-2.1816105082809734,-0.12378589450523236,6.056000000000001,2.808280663286283
2023-10-31,158.6,3.1209362808842567,5.7,62.1,865859.6,1.8105102650688876,5.0,7.2,7.04,2.2,-0.16000000000000014,1.371675,1.3435636761261582,0.12591700427022623,735300.0,-0.9830325882036139,0.7674386734274341,85.64,67.23,-18.409999999999997,-2.1816105082809734,-0.12378589450523236,6.136000000000001,2.868280663286283
2023-11-01,158.8,3.116883116883118,5.7,62.0,865859.6,1.8105102650688876,5.0,7.2,7.04,2.2,-0.16000000000000014,1.371675,1.3435636761261582,0.12591700427022623,725100.0,-1.3871889024887785,0.3737541528239241,77.69,56.61,-21.08,-7.917506222590975,-0.12378589450523236,6.136000000000001,3.065122923588038
2023-11-30,158.8,3.116883116883118,5.7,62.0,865859.6,1.8105102650688876,5.0,7.2,7.040000000000001,2.2,-0.15999999999999925,1.370942857142857,-0.05337582569799881,1.9396643297216798,725100.0,-1.3871889024887785,0.3737541528239241,77.69,56.61,-21.08,-7.917506222590975,-0.12378589450523236,6.136000000000002,3.065122923588038
2023-12-01,158.3,3.396472893533642,5.8,61.9,865859.6,1.8105102650688876,5.0,7.2,7.040000000000001,2.2,-0.15999999999999925,1.370942857142857,-0.05337582569799881,1.9396643297216798,719300.0,-0.7998896703902858,0.699986000279984,71.9,45.48,-26.42000000000001,-5.939298796441639,-0.14951162809302423,6.136000000000002,2.922006999860008
2023-12-31,158.3,3.396472893533642,5.8,61.9,865859.6,1.8105102650688876,5.0,7.2,7.04,2.2,-0.16000000000000014,1.3430894736842105,-2.0316954359932193,-1.1845677437142377,719300.0,-0.7998896703902858,0.699986000279984,71.9,45.48,-26.42000000000001,-5.939298796441639,-0.14951162809302423,6.136000000000001,2.922006999860008
2024-01-01,158.3,2.8589993502274202,5.7,61.8,865859.6,1.8105102650688876,5.0,7.2,7.04,2.2,-0.16000000000000014,1.3430894736842105,-2.0316954359932193,-1.1845677437142377,714500.0,-0.6673154455720809,0.9465950833568826,74.15,53.77,-20.380000000000003,-5.081925243215569,-0.12378589450523236,6.136000000000001,2.778702458321559
2024-01-31,158.3,2.8589993502274202,5.7,61.8,876619.7,1.2427072472257494,5.0,7.2,6.95,2.2,-0.25,1.34245,-0.047612143251818395,0.0211101452874507,714500.0,-0.6673154455720809,0.9465950833568826,74.15,53.77,-20.380000000000003,-5.081925243215569,-0.26909185847885125,6.1000000000000005,2.751702458321559
2024-02-01,158.8,2.783171521035599,5.9,61.7,876619.7,1.2427072472257494,5.0,7.2,6.95,2.2,-0.25,1.34245,-0.047612143251818395,0.0211101452874507,715400.0,0.12596221133660546,1.388888888888884,77.25,57.83,-19.42,0.5466614603670372,-0.3205433256544352,6.1000000000000005,2.570555555555558
2024-02-29,158.8,2.783171521035599,5.9,61.7,876619.7,1.2427072472257494,5.0,7.2,6.8275,2.2,-0.3725000000000005,1.35008,0.5683638124325041,0.3757312515896949,715400.0,0.12596221133660546,1.388888888888884,77.25,57.83,-19.42,0.5466614603670372,-0.3205433256544352,6.051000000000001,2.533805555555558
2024-03-01,159.8,2.8976175144880933,6.1,61.6,876619.7,1.2427072472257494,5.0,7.2,6.8275,2.2,-0.3725000000000005,1.35008,0.5683638124325041,0.3757312515896949,716200.0,0.11182555213866685,1.0155148095909672,81.28,61.28,-20.0,10.917030567685583,-0.3719947928300189,6.051000000000001,2.760492595204516
2024-03-31,159.8,2.8976175144880933,6.1,61.6,876619.7,1.2427072472257494,5.0,7.2,6.84,2.2,-0.3600000000000003,1.353945,0.28627933159517394,-1.0428232318256958,716200.0,0.11182555213866685,1.0155148095909672,81.28,61.28,-20.0,10.917030567685583,-0.3719947928300189,6.056000000000001,2.764242595204516
2024-04-01,160.6,2.6854219948849067,6.2,61.6,876619.7,1.2427072472257494,5.0,7.2,6.84,2.2,-0.3600000000000003,1.353945,0.28627933159517394,-1.0428232318256958,714800.0,-0.19547612398771452,-0.9697977279024661,85.35,68.65,-16.69999999999999,7.426054122089343,-0.39772052641781097,6.056000000000001,3.7768988639512333
2024-04-30,160.6,2.6854219948849067,6.2,61.6,876619.7,1.2427072472257494,5.0,7.2,6.84,2.2,-0.3600000000000003,1.3673772727272728,0.9920840748533166,1.399476152223822,714800.0,-0.19547612398771452,-0.9697977279024661,85.35,68.65,-16.69999999999999,7.426054122089343,-0.39772052641781097,6.056000000000001,3.7768988639512333
2024-05-01,161.5,2.866242038216571,6.3,61.4,876619.7,1.2427072472257494,5.0,7.2,6.84,2.2,-0.3600000000000003,1.3673772727272728,0.9920840748533166,1.399476152223822,713400.0,-0.1958589815332923,-2.7800490596892935,80.02,65.59,-14.429999999999993,11.79100307348422,-0.4234462600056028,6.056000000000001,4.702024529844647
2024-05-31,161.5,2.866242038216571,6.3,61.4,876619.7,1.2427072472257494,5.0,7.2,6.840000000000001,2.2,-0.35999999999999943,1.3670363636363636,-0.024931604298883414,1.1111372599119873,713400.0,-0.1958589815332923,-2.7800490596892935,80.02,65.59,-14.429999999999993,11.79100307348422,-0.4234462600056028,6.056000000000002,4.702024529844647
2024-06-01,161.4,2.6717557251908497,6.4,61.3,876619.7,1.2427072472257494,5.0,7.2,6.840000000000001,2.2,-0.35999999999999943,1.3670363636363636,-0.024931604298883414,1.1111372599119873,714100.0,0.09812167087188683,-3.85081459539518,79.77,66.83,-12.939999999999998,13.551601423487547,-0.4491719935933949,6.056000000000002,5.25740729769759
2024-06-30,161.4,2.6717557251908497,6.4,61.3,876619.7,1.2427072472257494,4.7875,7.0125,6.84,2.2250000000000005,-0.17250000000000032,1.370685,0.26690119302539284,3.1535035507573417,714100.0,0.09812167087188683,-3.85081459539518,79.77,66.83,-12.939999999999998,13.551601423487547,-0.4491719935933949,5.986000000000001,5.25740729769759
2024-07-01,162.1,2.5300442757748343,6.4,61.1,876619.7,1.2427072472257494,4.7875,7.0125,6.84,2.2250000000000005,-0.17250000000000032,1.370685,0.26690119302539284,3.1535035507573417,713600.0,-0.07001820473323539,-4.522344126304523,81.8,67.49,-14.310000000000002,7.53253582226896,-0.4491719935933949,5.986000000000001,5.593172063152262
2024-07-31,162.1,2.5300442757748343,6.4,61.1,876619.7,1.2427072472257494,4.695652173913044,6.9,6.790000000000001,2.2043478260869565,-0.10999999999999943,1.3711818181818183,0.03624597787370565,3.7626426968518256,713600.0,-0.07001820473323539,-4.522344126304523,81.8,67.49,-14.310000000000002,7.53253582226896,-0.4491719935933949,5.916869565217392,5.5781720631522616
2024-08-01,161.8,1.953371140516702,6.7,61.0,876619.7,1.2427072472257494,4.695652173913044,6.9,6.790000000000001,2.2043478260869565,-0.10999999999999943,1.3711818181818183,0.03624597787370565,3.7626426968518256,712600.0,-0.14013452914798386,-4.5539780337530145,76.68,61.37,-15.31000000000001,-5.786951713969768,-0.5263491943567706,5.916869565217392,5.6539890168765075
2024-08-31,161.8,1.953371140516702,6.7,61.0,876619.7,1.2427072472257494,4.5,6.7,6.6899999999999995,2.2,-0.010000000000000675,1.3651619047619046,-0.43903101252437127,1.232858198996567,712600.0,-0.14013452914798386,-4.5539780337530145,76.68,61.37,-15.31000000000001,-5.786951713969768,-0.5263491943567706,5.796,5.623989016876507
2024-09-01,161.1,1.6403785488958933,6.6,61.0,876619.7,1.2427072472257494,4.5,6.7,6.6899999999999995,2.2,-0.010000000000000675,1.3651619047619046,-0.43903101252437127,1.232858198996567,711700.0,-0.1262980634296973,-4.161055750067333,70.24,55.9,-14.339999999999996,-21.458123672145824,-0.5006234607689786,5.796,5.407527875033667
2024-09-30,161.1,1.6403785488958933,6.6,61.0,876619.7,1.2427072472257494,4.285714285714286,6.5125,6.59,2.2267857142857146,0.07749999999999968,1.354621052631579,-0.7721320155182676,0.08356564374902842,711700.0,-0.1262980634296973,-4.161055750067333,70.24,55.9,-14.339999999999996,-21.458123672145824,-0.5006234607689786,5.686357142857143,5.377527875033667
2024-10-01,161.8,2.0176544766708826,6.6,60.8,876619.7,1.2427072472257494,4.285714285714286,6.5125,6.59,2.2267857142857146,0.07749999999999968,1.354621052631579,-0.7721320155182676,0.08356564374902842,710300.0,-0.19671209779401622,-3.399972800217599,71.99,57.86,-14.129999999999995,-15.938813638486693,-0.5006234607689786,5.686357142857143,4.996986400108799
2024-10-31,161.8,2.0176544766708826,6.6,60.8,876619.7,1.2427072472257494,4.119565217391305,6.35,6.49,2.230434782608695,0.14000000000000057,1.3754863636363637,1.5403061220885528,0.27786200348942636,710300.0,-0.19671209779401622,-3.399972800217599,71.99,57.86,-14.129999999999995,-15.938813638486693,-0.5006234607689786,5.5820869565217395,4.9669864001088
2024-11-01,161.8,1.8891687657430767,6.9,60.9,876619.7,1.2427072472257494,4.119565217391305,6.35,6.49,2.230434782608695,0.14000000000000057,1.3754863636363637,1.5403061220885528,0.27786200348942636,712200.0,0.26749260875686964,-1.7790649565577188,69.95,57.56,-12.39,-9.962672158578966,-0.5778006615323547,5.5820869565217395,4.216532478278859
2024-11-30,161.8,1.8891687657430767,6.9,60.9,876619.7,1.2427072472257494,3.75,5.95,6.49,2.2,0.54,1.397485,1.5993351112168597,1.936050267803191,712200.0,0.26749260875686964,-1.7790649565577188,69.95,57.56,-12.39,-9.962672158578966,-0.5778006615323547,5.416000000000001,4.216532478278859
2024-12-01,161.2,1.831964624131377,6.7,61.0,876619.7,1.2427072472257494,3.75,5.95,6.49,2.2,0.54,1.397485,1.5993351112168597,1.936050267803191,711900.0,-0.04212299915753448,-1.0287779785903006,70.12,57.76,-12.360000000000007,-2.475660639777466,-0.5263491943567706,5.416000000000001,3.80138898929515
2024-12-31,161.2,1.831964624131377,6.7,61.0,876619.7,1.2427072472257494,3.4318181818181817,5.7,6.49,2.2681818181818185,0.79,1.424045,1.900557072168918,6.027560181357194,711900.0,-0.04212299915753448,-1.0287779785903006,70.12,57.76,-12.360000000000007,-2.475660639777466,-0.5263491943567706,5.329636363636364,3.80138898929515
